0,1,2,3,4,5,6
K Thompson,K Thompson,K Thompson,S Curry,S Curry,C Capela,C Capela
S Curry,S Curry,C Capela,A Igoudala,E Gordon,S Curry,S Curry
E Gordon,K Looney,S Curry,E Gordon,K Looney,E Gordon,K Looney
K Looney,I Shempert,K Looney,K Looney,I Shempert,K Looney,I Shempert
I Shempert,A Rivers,I Shempert,I Shempert,A Rivers,I Shempert,A Rivers
A Rivers,P Tucker,A Rivers,A Rivers,P Tucker,A Rivers,P Tucker
D Green,D Green,D Green,D Green,D Green,D Green,D Green
K Durant,K Durant,K Durant,K Durant,K Durant,K Durant,K Durant
