0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Q Cook,Q Cook,Q Cook,Q Cook,C Capela,Q Cook,Q Cook,C Capela,Q Cook,C Capela,K Thompson,K Thompson,C Capela,K Thompson,C Capela,C Capela
K Thompson,K Thompson,K Thompson,K Thompson,Q Cook,K Thompson,K Thompson,Q Cook,K Thompson,Q Cook,J Harden,J Harden,K Thompson,J Harden,K Thompson,K Thompson
J Harden,J Harden,J Harden,J Harden,K Thompson,J Harden,J Harden,K Thompson,J Harden,K Thompson,K Looney,P Tucker,J Harden,P Tucker,J Harden,J Harden
P Tucker,P Tucker,K Looney,P Tucker,J Harden,K Looney,P Tucker,J Harden,K Looney,J Harden,I Shempert,K Looney,K Looney,K Looney,K Looney,P Tucker
S Curry,I Shempert,I Shempert,K Looney,K Looney,D Green,K Looney,K Looney,I Shempert,P Tucker,D Green,I Shempert,I Shempert,I Shempert,I Shempert,K Looney
I Shempert,C Paul,C Paul,I Shempert,I Shempert,A Rivers,I Shempert,I Shempert,K Durant,I Shempert,A Igoudala,D Green,D Green,D Green,D Green,I Shempert
D Green,D Green,D Green,C Paul,C Paul,A Igoudala,D Green,D Green,D Green,D Green,A Rivers,A Rivers,A Rivers,A Igoudala,A Igoudala,D Green
A Rivers,A Rivers,A Igoudala,D Green,D Green,E Gordon,E Gordon,E Gordon,A Rivers,A Igoudala,E Gordon,E Gordon,E Gordon,A Rivers,A Rivers,A Rivers
